Brahmanandam,Mohanlal,Mammootty,Mithun Chakraborty,Jagathi Sreekumar,Ali,Prakash Raj,Eric Roberts,Shakti Kapoor,Suresh Gopi,Jayaram,Nedumudi Venu,Jackie Shroff,Innocent,Gulshan Grover,Dharmendra,Anupam Kher,Mukesh,Nassar,Srinivasa Rao Kota,Mohan Babu,Amitabh Bachchan,Tanikella Bharani,Naseeruddin Shah,Sanjay Dutt,Siddique,Dileep,Akshay Kumar,Jagadish,Chiranjeevi,Rajinikanth,Satyanarayana Kaikala,Raghu Babu,Sridevi,Sreenivasan,Janardanan,Simon Yam,Asrani,Kamal Haasan,Prasenjit Chatterjee,Prem Chopra,Paresh Rawal,Michael Madsen,Prithviraj Sukumaran,Gérard Depardieu,Rishi Kapoor,K.P.A.C. Lalitha,Raj Babbar,Ajay Devgn,Om Puri,Govinda,Andy Lau,Lalu Alex,Biju Menon,Ramya Krishnan,Kalabhavan Mani,Robert De Niro,Soumitra Chatterjee,Anthony Chau-Sang Wong,Manoj K. Jayan,Avinash,Nagarjuna Akkineni,Shabana Azmi,Isabelle Huppert,Nicolas Cage,Harisree Asokan,Rajatabha Dutta,Jaya Prada,Jayasurya,Rajendra Prasad,Danny Trejo,Sunny Deol,Aruna Irani,Jayasudha,Salman Khan,Kunchacko Boban,Tom Sizemore,Anil Kapoor,Vinod Khanna,Louis Koo,Meena,Prabhu,Eric Tsang,Anthony Hopkins,Lal,Sabyasachi Chakrabarty,Bruce Willis,Sunil Shetty,Danny Denzongpa,Manisha Koirala,Qi Shu,Urvashi,Indrans,Saikumar,Mammukoya,Jagapathi Babu,Bruce Dern,Akira Emoto,Mohan Joshi,Shah Rukh Khan
1,2,2,0,0,0,0,2,1,0,3,23,1,1,2,0,2,1,1,0,9,1,1,0,1,0,4,0,0,1,1,1,2,1,3,0,0,0,1,0,1,0,0,17,2,4,0,1,0,9,0,1,2,0,0,1,0,1,0,1,0,0,4,2,1,0,1,1,1,0,8,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,3,0,2,0,0,4,1,0,1,0,0,0,4,0,0,1,2,3,0,1,0,1,0,0,0,2,1,1,7,4,0,0,1,0,0,0,5,2,0,8,0,3,4,2,0,2,1,4,0,0,0,1,1,0,0,6,1,1,1,0,3,2,4,0,0,2,2,0,8,7,0,1,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,1,9,2,7,6,0,5,0,4,0,0,7,5,1,5,5,4,0,0,1,3,1,4,0,4,3,3,1,0,1,0,0,0,4,5,0,3,1,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,5,0,6,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,7,1,2,2,1,3,1,3,3,0,3,0,9,2,0,0,0,5,2,0,5,0,2,0,1,2,0,0,4,1,1,1,0,0,3,0,5,1,0,1,0,2,1,2,1,2,0,1,2,1,0,0,0,0,0,10,0,0,0,0,1,2,1,0,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,7,0,4,2,5,0,11,0,0,3,2,0,2,9,5,0,0,0,9,0,10,0,10,2,5,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,1,0,1,3,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0,0,1,1,0,0,1,0,0,12,0,0,24,0,0,0,0,4,6,1,15,0,0,0,0,0,1,0,5,1,0,1,0,0,0,0,6,0,0,1,2,3,9,4,0,1,0,2,2,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,38,0,0,1,0,1,1,1,1,1,2,1,1,1,0,0,0,0,3,0,1,13,0,0,0,0,1,1,0,15,0,0,0,1,1,0,0,4,0,0,3,0,0,0,0,0,2,0,2,2,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,0,9,1,0,0,0,0,1,0,12,0,3,1,0,2,3,0,0,0,6,0,1,2,4,3,0,0,5,0,1,3,6,0,1,0,1,0,0,1,0,0,0,2,4,0,3,3,4,1,2,1,2,2,3,3,0,1,0,0,0,3,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,9,0,5,5,0,0,0,0,0,0,7,0,4,0,0,0,6,0,0,0,3,4,0,1,4,1,0,0,2,0,0,2,5,1,2,2,2,0,0,0,0,0,0,4,2,0,4,4,2,3,1,5,4,1,1,1,0,4,0,0,0,2,0,0,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26,0,0,1,0,1,0,1,0,0,0,0,0,3,0,1,0,0,31,0,0,1,1,0,2,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,9,1,0,0,1,0,0,1,0,3,0,0,2,1,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,1,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,2,1,0,6,1,0,0,0,0,0,9,1,1,0,0,0,2,0,0,1,4,5,0,5,5,1,0,0,3,0,0,2,4,1,4,3,0,1,0,0,1,1,0,3,4,1,2,5,0,0,2,1,1,2,1,1,1,4,0,0,0,9,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,4,0,3,7,0,0,0,0,0,0,6,0,4,0,0,0,1,0,0,0,3,5,0,7,8,6,0,0,2,0,0,3,4,0,1,0,1,0,1,0,0,1,0,3,4,0,5,2,3,1,1,1,1,3,1,0,2,2,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,2,0,0,0,0,0,2,1,6,10,0,0,0,0,0,0,2,2,0,0,0,0,8,0,0,0,13,1,0,2,0,0,0,0,2,0,0,1,3,0,3,1,0,0,0,0,0,1,0,4,2,0,0,3,2,2,3,3,3,3,2,1,0,2,0,0,0,3,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,1,1,1,1,0,0,1,0,2,5,0,0,10,1,0,0,1,2,0,0,3,0,0,0,0,0,2,1,3,2,0,0,0,0,1,0,2,0,0,5,1,0,1,6,0,10,0,2,3,1,3,0,0,1,2,2,1,0,0,2,1,0,0,2,0,3,0,0,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,4,0,11,3,3,0,0,0,0,0,9,1,0,6,1,0,1,0,0,0,0,0,2,1,0,2,1,3,1,2,1,3,3,6,2,0,6,0,1,0,2,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,5,6,0,0,0,0,0,0,8,0,4,0,0,0,7,0,0,0,8,8,0,1,1,2,0,0,0,0,0,2,2,0,2,1,1,1,0,0,0,0,0,1,5,0,1,1,3,0,1,2,4,1,4,3,0,5,0,0,0,0,1,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,2,0,0,0,4,0,1,0,1,0,1,0,0,0,2,0,1,0,0,0,6,0,0,0,5,1,0,1,2,2,0,1,1,0,0,0,1,0,4,0,0,1,0,0,0,0,0,2,4,1,1,1,3,0,3,4,2,3,1,9,0,3,0,0,0,13,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,5,0,0,8,0,3,0,1,2,0,0,2,4,0,10,1,0,0,0,0,0,0,1,2,1,0,2,3,3,2,3,1,3,2,1,2,0,12,0,0,0,0,1,0,1,2,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,12,0,0,2,4,2,0,4,2,3,0,0,3,0,0,7,0,0,2,2,4,3,0,1,0,0,0,3,1,0,1,1,2,1,6,4,1,1,2,1,1,0,0,0,1,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,3,0,0,3,2,3,0,0,3,0,0,4,1,1,11,0,2,2,0,2,0,0,0,3,1,1,1,0,1,0,2,3,9,2,1,2,0,1,0,0,0,6,1,0,0,4,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,1,1,1,3,4,1,0,2,0,1,0,1,0,1,2,1,0,2,0,0,1,1,1,2,5,3,0,0,3,1,0,0,0,2,0,1,1,1,0,0,0,1,1,4,3,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,2,0,2,0,3,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,1,0,3,0,2,0,0,0,0,0,9,0,0,8,1,0,0,0,0,0,0,0,1,4,0,4,2,2,2,6,5,3,12,0,1,0,2,0,0,0,2,0,0,1,0,2,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,2,3,1,7,2,2,0,2,0,0,2,3,1,3,5,2,0,0,1,2,0,4,0,3,6,6,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,8,2,3,1,3,2,0,1,0,0,2,0,3,3,2,1,0,2,0,1,4,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,6,1,2,0,2,1,0,1,0,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,4,3,2,3,1,1,1,2,0,1,2,4,0,2,0,0,0,1,0,10,0,3,0,1,3,5,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,2,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,4,2,0,2,6,0,0,0,0,0,0,3,6,0,0,1,0,0,0,0,0,0,0,3,2,0,9,2,3,0,2,0,13,0,0,6,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,4,1,2,2,1,1,1,0,1,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,2,1,1,0,0,0,1,1,1,2,8,8,1,0,0,0,1,0,0,1,0,0,0,4,0,1,0,1,2,1,0,0,0,1,0,0,2,1,0,1,0,0,5,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,1,1,0,2,0,2,0,1,8,0,0,0,0,0,0,0,0,0,0,11,0,1,0,7,0,5,1,2,3,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,7,3,2,4,1,0,1,0,0,1,2,0,0,2,1,0,0,0,1,0,6,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,7,1,8,0,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,3,0,2,1,0,0,0,0,1,0,1,0,0,1,0,1,4,0,1,0,4,2,1,3,2,0,0,0,1,0,0,2,0,0,2,0,0,1,0,1,0,1,0,1,2,0,3,1,5,1,2,2,0,2,2,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,2,0,6,1,0,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,6,2,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,0,8,0,0,0,0,1,0,0,8,0,1,0,0,0,1,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,2,1,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,4,3,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,6,1,0,2,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,6,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,3,1,2,1,0,2,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,3,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,8,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,5,7,3,1,0,1,0,0,3,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,3,4,4,1,0,0,0,0,3,1,0,0,0,0,0,0
0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,2,2,3,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,2,1,2,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,5,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,2,2,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,2,2,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,3,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,2,1,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
