Brahmanandam,Mohanlal,Mammootty,Mithun Chakraborty,Jagathi Sreekumar,Ali,Prakash Raj,Eric Roberts,Shakti Kapoor,Suresh Gopi,Jayaram,Nedumudi Venu,Jackie Shroff,Innocent,Gulshan Grover,Dharmendra,Anupam Kher,Mukesh,Nassar,Srinivasa Rao Kota,Mohan Babu,Amitabh Bachchan,Tanikella Bharani,Naseeruddin Shah,Sanjay Dutt,Siddique,Dileep,Akshay Kumar,Jagadish,Chiranjeevi,Rajinikanth,Satyanarayana Kaikala,Raghu Babu,Sridevi,Sreenivasan,Janardanan,Simon Yam,Asrani,Kamal Haasan,Prasenjit Chatterjee,Prem Chopra,Paresh Rawal,Michael Madsen,Prithviraj Sukumaran,Gérard Depardieu,Rishi Kapoor,K.P.A.C. Lalitha,Raj Babbar,Ajay Devgn,Om Puri,Govinda,Andy Lau,Lalu Alex,Biju Menon,Ramya Krishnan,Kalabhavan Mani,Robert De Niro,Soumitra Chatterjee,Anthony Chau-Sang Wong,Manoj K. Jayan,Avinash,Nagarjuna Akkineni,Shabana Azmi,Isabelle Huppert,Nicolas Cage,Harisree Asokan,Rajatabha Dutta,Jaya Prada,Jayasurya,Rajendra Prasad,Danny Trejo,Sunny Deol,Aruna Irani,Jayasudha,Salman Khan,Kunchacko Boban,Tom Sizemore,Anil Kapoor,Vinod Khanna,Louis Koo,Meena,Prabhu,Eric Tsang,Anthony Hopkins,Lal,Sabyasachi Chakrabarty,Bruce Willis,Sunil Shetty,Danny Denzongpa,Manisha Koirala,Qi Shu,Urvashi,Indrans,Saikumar,Mammukoya,Jagapathi Babu,Bruce Dern,Akira Emoto,Mohan Joshi,Shah Rukh Khan
0,5,1,0,1,1,0,0,6,0,8,2,1,0,11,0,0,0,6,1,14,1,22,0,4,0,1,0,8,2,2,3,4,5,0,0,1,0,9,2,3,1,6,24,23,0,0,0,0,12,2,1,5,0,6,7,10,5,2,6,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,2,22,11,13,6,10,15,1,4,1,1,2,13,2,5,13,4,0,0,0,4,1,7,1,4,10,12,0,0,0,0,0,0,14,6,0,8,2,0,0,0,0,0,1,0,7,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,0,7,10,12,6,17,16,1,34,1,0,13,2,0,6,9,5,1,0,1,6,2,4,0,4,2,9,0,0,0,0,0,0,5,6,0,7,0,1,0,0,0,0,1,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,42,1,0,1,0,0,0,1,0,3,11,2,0,2,0,1,0,0,10,24,0,21,0,0,0,0,0,1,2,9,0,0,0,0,0,2,0,14,0,1,9,1,4,2,4,1,9,0,24,1,0,0,3,0,0,0,10,0,0,1,0,1,0,0,0,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,0,23,21,17,19,17,12,1,9,1,0,5,6,0,2,4,13,1,0,0,4,0,2,0,2,3,4,0,0,0,0,0,0,5,12,0,4,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,14,9,15,5,8,16,0,10,0,0,13,9,1,4,2,9,0,0,1,7,0,7,0,9,12,3,0,0,1,0,0,0,4,2,0,1,0,0,0,0,0,0,2,0,5,0,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,10,29,3,13,12,20,0,7,0,0,4,5,0,13,9,2,0,1,1,4,0,6,0,5,6,3,0,0,0,0,0,0,7,13,0,1,0,0,0,0,0,0,1,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,1,1,17,2,15,6,0,1,0,1,0,0,2,1,13,0,1,1,4,0,0,0,3,14,0,5,5,4,0,0,9,0,0,3,8,0,3,3,1,2,0,0,0,0,0,12,7,0,9,6,2,1,1,8,2,1,1,0,0,0,0,0,0,3,0,0,0,1,2,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,55,1,0,0,0,1,1,2,1,0,1,0,0,10,0,0,1,1,2,1,1,5,1,1,1,0,1,0,0,10,0,0,0,1,0,0,0,2,0,0,24,1,1,0,3,0,5,0,4,3,0,0,31,1,0,2,2,0,0,0,0,0,0,2,0,0,2,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,0,1,1,0,1,3,1,10,14,0,1,24,0,1,1,13,1,2,0,12,0,3,0,0,0,1,3,1,8,7,3,0,0,2,1,6,6,5,0,2,5,9,0,1,2,0,6,0,3,4,0,1,4,0,0,0,4,1,1,0,0,0,1,1,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,0,2,8,5,12,5,5,1,2,0,1,4,6,0,4,7,4,0,1,0,2,0,21,0,15,2,10,0,0,1,0,0,0,0,4,0,4,1,0,0,0,0,0,1,1,3,0,9,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,10,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,15,1,0,0,0,0,1,2,1,2,22,1,2,21,0,0,0,1,5,12,0,2,0,1,0,0,1,1,0,6,0,0,0,0,0,0,0,34,1,0,0,0,0,1,0,1,5,0,15,13,0,0,1,0,0,0,3,0,0,0,0,0,1,1,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
